subset,references,metric,value
1size,"[0, 1, 2]",bleu,50.33
2size,"[0, 1, 2]",bleu,37.13
3size,"[0, 1, 2]",bleu,31.85
4size,"[0, 1, 2]",bleu,32.92
5size,"[0, 1, 2]",bleu,28.64
6size,"[0, 1, 2]",bleu,39.88
7size,"[0, 1, 2]",bleu,34.26
all-cat,"[0, 1, 2]",bleu,34.6
new-cat,"[0, 1, 2]",bleu,25.12
old-cat,"[0, 1, 2]",bleu,43.28
1size,"[0, 1, 2]",bleu_1,74.2
2size,"[0, 1, 2]",bleu_1,67.5
3size,"[0, 1, 2]",bleu_1,66.4
4size,"[0, 1, 2]",bleu_1,68.9
5size,"[0, 1, 2]",bleu_1,67.9
6size,"[0, 1, 2]",bleu_1,73.8
7size,"[0, 1, 2]",bleu_1,75.3
all-cat,"[0, 1, 2]",bleu_1,68.8
new-cat,"[0, 1, 2]",bleu_1,59.3
old-cat,"[0, 1, 2]",bleu_1,77.7
1size,"[0, 1, 2]",bleu_2,56.6
2size,"[0, 1, 2]",bleu_2,44.4
3size,"[0, 1, 2]",bleu_2,39.9
4size,"[0, 1, 2]",bleu_2,41.5
5size,"[0, 1, 2]",bleu_2,37.9
6size,"[0, 1, 2]",bleu_2,48.8
7size,"[0, 1, 2]",bleu_2,44.4
all-cat,"[0, 1, 2]",bleu_2,42.7
new-cat,"[0, 1, 2]",bleu_2,32.9
old-cat,"[0, 1, 2]",bleu_2,52.1
1size,"[0, 1, 2]",bleu_3,44.2
2size,"[0, 1, 2]",bleu_3,30.5
3size,"[0, 1, 2]",bleu_3,25.0
4size,"[0, 1, 2]",bleu_3,25.8
5size,"[0, 1, 2]",bleu_3,21.7
6size,"[0, 1, 2]",bleu_3,32.6
7size,"[0, 1, 2]",bleu_3,26.9
all-cat,"[0, 1, 2]",bleu_3,27.5
new-cat,"[0, 1, 2]",bleu_3,19.2
old-cat,"[0, 1, 2]",bleu_3,35.5
1size,"[0, 1, 2]",bleu_4,34.5
2size,"[0, 1, 2]",bleu_4,20.8
3size,"[0, 1, 2]",bleu_4,15.5
4size,"[0, 1, 2]",bleu_4,16.0
5size,"[0, 1, 2]",bleu_4,12.1
6size,"[0, 1, 2]",bleu_4,21.9
7size,"[0, 1, 2]",bleu_4,16.7
all-cat,"[0, 1, 2]",bleu_4,17.7
new-cat,"[0, 1, 2]",bleu_4,10.6
old-cat,"[0, 1, 2]",bleu_4,24.4
1size,"[0, 1, 2]",ter,0.4299962299071187
2size,"[0, 1, 2]",ter,0.5844198712658857
3size,"[0, 1, 2]",ter,0.6465168902537576
4size,"[0, 1, 2]",ter,0.6229469315149719
5size,"[0, 1, 2]",ter,0.6659697707098053
6size,"[0, 1, 2]",ter,0.5855639097744362
7size,"[0, 1, 2]",ter,0.6168042739193783
all-cat,"[0, 1, 2]",ter,0.6095014527332543
new-cat,"[0, 1, 2]",ter,0.7216276785939107
old-cat,"[0, 1, 2]",ter,0.5145683504363399
1size,"[0, 1, 2]",meteor,0.4477647646081224
2size,"[0, 1, 2]",meteor,0.3842202129373684
3size,"[0, 1, 2]",meteor,0.34534069695978115
4size,"[0, 1, 2]",meteor,0.33070162556654303
5size,"[0, 1, 2]",meteor,0.3061369172693791
6size,"[0, 1, 2]",meteor,0.3469417778404724
7size,"[0, 1, 2]",meteor,0.33862652551302524
all-cat,"[0, 1, 2]",meteor,0.3487842214563435
new-cat,"[0, 1, 2]",meteor,0.3105751414577889
old-cat,"[0, 1, 2]",meteor,0.3826239970659331
1size,"[0, 1, 2]",avg_n_tokens,11.766519823788546
2size,"[0, 1, 2]",avg_n_tokens,19.693409742120345
3size,"[0, 1, 2]",avg_n_tokens,26.632124352331605
4size,"[0, 1, 2]",avg_n_tokens,31.16253443526171
5size,"[0, 1, 2]",avg_n_tokens,36.64905660377359
6size,"[0, 1, 2]",avg_n_tokens,45.166666666666664
7size,"[0, 1, 2]",avg_n_tokens,47.714285714285715
all-cat,"[0, 1, 2]",avg_n_tokens,24.492481203007518
new-cat,"[0, 1, 2]",avg_n_tokens,24.894500561167227
old-cat,"[0, 1, 2]",avg_n_tokens,24.12358393408857
1size,"[0, 1, 2]",macro_avg_n_stop_words,0.27667540247098465
1size,"[0, 1, 2]",avg_n_stop_words,0.2763429341219905
2size,"[0, 1, 2]",macro_avg_n_stop_words,0.305834424559872
2size,"[0, 1, 2]",avg_n_stop_words,0.3130782330229925
3size,"[0, 1, 2]",macro_avg_n_stop_words,0.30846303501945527
3size,"[0, 1, 2]",avg_n_stop_words,0.313659864884221
4size,"[0, 1, 2]",macro_avg_n_stop_words,0.2980905233380481
4size,"[0, 1, 2]",avg_n_stop_words,0.3045910912518456
5size,"[0, 1, 2]",macro_avg_n_stop_words,0.31332372322899504
5size,"[0, 1, 2]",avg_n_stop_words,0.3151620624706935
6size,"[0, 1, 2]",macro_avg_n_stop_words,0.33025830258302585
6size,"[0, 1, 2]",avg_n_stop_words,0.3295898303802154
